,latent
813,1
814,1
815,1
816,1
817,1
818,1
819,1
820,1
821,1
822,1
823,3
824,1
825,1
826,3
827,1
828,1
829,1
830,1
831,0
832,0
833,1
834,1
835,1
836,1
837,3
838,3
839,1
840,2
841,2
842,2
843,2
844,2
845,2
846,2
847,2
848,2
849,1
850,1
851,3
852,2
853,2
854,2
855,2
856,2
857,2
858,2
859,2
860,2
861,1
862,1
863,1
864,1
865,1
866,1
867,3
868,1
869,1
870,1
871,1
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,1
885,1
886,1
887,1
888,1
889,3
890,2
891,2
892,2
893,2
894,1
895,2
896,2
897,2
898,2
899,2
900,2
901,2
902,2
903,2
904,1
905,1
906,1
907,1
908,1
909,1
910,1
911,1
912,1
913,1
914,1
915,1
916,2
917,2
918,2
919,2
920,2
921,2
922,1
923,2
924,2
925,2
926,2
927,2
928,2
929,2
930,2
931,2
932,2
933,2
934,2
935,1
936,1
937,1
938,3
939,1
940,1
941,1
942,1
943,2
944,2
945,1
946,1
947,1
948,1
949,1
950,1
951,1
952,3
953,1
954,1
955,1
956,1
957,2
958,1
959,1
960,1
961,1
962,1
963,1
964,1
965,3
966,1
967,1
968,1
969,1
970,1
971,1
972,1
973,1
974,1
975,1
976,1
977,1
978,1
979,1
980,1
981,1
982,1
983,1
984,1
985,1
986,3
987,1
988,1
989,1
990,1
991,1
992,1
993,1
994,1
995,1
996,1
997,3
998,1
999,1
1000,1
1001,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,1
1008,1
1009,3
1010,1
1011,1
1012,1
1013,1
1014,1
1015,1
1016,1
1017,1
1018,1
1019,1
1020,1
1021,1
1022,1
1023,0
1024,0
1025,1
1026,1
1027,1
1028,0
1029,0
1030,0
1031,1
1032,1
1033,1
1034,1
1035,1
1036,0
1037,3
1038,3
1039,1
1040,1
1041,1
1042,3
1043,3
1044,1
1045,1
1046,1
1047,2
1048,2
1049,2
1050,2
1051,1
1052,3
1053,3
1054,1
1055,1
1056,3
1057,1
1058,3
1059,1
1060,3
1061,1
1062,1
1063,3
1064,1
1065,3
1066,1
1067,1
1068,1
1069,1
1070,1
1071,1
1072,3
1073,1
1074,1
1075,1
1076,1
1077,1
1078,1
1079,3
1080,3
1081,3
1082,1
1083,1
1084,1
1085,1
1086,1
1087,1
1088,1
1089,3
1090,2
1091,2
1092,2
1093,2
1094,2
1095,2
1096,2
1097,2
1098,1
1099,1
1100,3
1101,3
1102,3
1103,1
1104,1
1105,1
1106,3
1107,3
1108,1
1109,3
1110,1
1111,3
1112,1
1113,1
1114,3
1115,1
1116,3
1117,1
1118,3
1119,1
1120,1
1121,1
1122,1
1123,1
1124,1
1125,1
1126,1
1127,2
1128,2
1129,2
1130,3
1131,1
1132,1
1133,1
1134,3
1135,1
1136,1
1137,1
1138,1
1139,2
1140,2
1141,2
1142,2
1143,2
1144,1
1145,1
1146,1
1147,3
1148,1
1149,3
1150,3
1151,1
1152,1
1153,1
1154,1
1155,2
1156,2
1157,2
1158,2
1159,1
1160,1
1161,3
1162,1
1163,1
1164,3
1165,3
1166,1
1167,1
1168,3
1169,1
1170,1
1171,1
1172,1
1173,1
1174,1
1175,1
1176,1
1177,1
1178,3
1179,1
1180,1
1181,1
1182,1
1183,1
1184,1
1185,1
1186,1
1187,1
1188,1
1189,1
1190,3
1191,1
1192,1
1193,1
1194,1
1195,1
1196,1
1197,1
1198,1
1199,1
1200,1
1201,1
1202,1
1203,3
1204,1
1205,1
1206,1
1207,1
1208,1
1209,1
1210,2
1211,2
1212,2
1213,1
1214,1
1215,3
1216,3
1217,1
1218,1
1219,1
1220,1
1221,3
1222,3
1223,1
1224,1
1225,1
1226,1
1227,1
1228,3
1229,1
1230,1
1231,1
1232,1
1233,1
1234,1
1235,1
1236,1
1237,3
1238,2
1239,2
1240,1
1241,1
1242,1
1243,1
1244,1
1245,1
1246,1
1247,1
1248,1
1249,1
1250,1
1251,3
1252,3
1253,1
1254,1
1255,3
1256,2
1257,2
1258,2
1259,2
1260,2
1261,2
1262,2
1263,2
1264,2
1265,1
1266,2
1267,2
1268,2
1269,2
1270,2
1271,2
1272,2
1273,2
1274,1
1275,1
1276,3
1277,1
1278,1
1279,1
1280,1
1281,1
1282,1
1283,2
1284,2
1285,2
1286,2
1287,1
1288,2
1289,2
1290,2
1291,2
1292,2
1293,1
1294,2
1295,2
1296,2
1297,1
1298,1
1299,1
1300,1
1301,1
1302,1
1303,1
1304,2
1305,2
1306,2
1307,2
1308,2
1309,2
1310,1
1311,1
1312,2
1313,2
1314,2
1315,2
1316,2
1317,2
1318,2
1319,2
1320,2
1321,2
1322,1
1323,1
1324,1
1325,2
1326,2
1327,2
1328,1
1329,1
1330,1
1331,3
1332,1
1333,1
1334,1
1335,1
1336,1
1337,2
1338,2
1339,2
1340,2
1341,1
1342,1
1343,1
1344,1
1345,1
1346,1
1347,1
1348,1
1349,1
1350,3
1351,3
1352,2
1353,2
1354,2
1355,2
1356,2
1357,1
1358,1
1359,2
1360,2
1361,2
1362,1
1363,1
1364,3
1365,1
1366,1
1367,1
1368,1
1369,1
1370,1
1371,1
1372,1
1373,1
1374,1
1375,3
1376,1
1377,1
1378,3
1379,1
1380,1
1381,1
1382,1
1383,3
1384,3
1385,1
1386,1
1387,1
1388,1
1389,3
1390,1
1391,1
1392,1
1393,1
1394,1
1395,1
1396,3
1397,1
1398,1
1399,1
1400,1
1401,1
1402,1
1403,1
1404,3
1405,1
1406,1
1407,1
1408,1
1409,1
1410,1
1411,3
1412,1
1413,3
1414,1
1415,1
1416,1
1417,1
1418,1
1419,1
1420,1
1421,1
1422,1
1423,3
1424,3
1425,2
1426,2
1427,2
1428,2
1429,2
1430,2
1431,2
1432,2
1433,2
1434,1
1435,2
1436,2
1437,2
1438,2
1439,2
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,0
1447,1
1448,1
1449,1
1450,2
1451,2
1452,2
1453,1
1454,1
1455,1
1456,2
1457,2
1458,1
1459,1
1460,3
1461,1
1462,1
1463,1
1464,1
1465,1
1466,1
1467,1
1468,3
1469,3
1470,1
1471,3
1472,3
1473,1
1474,1
1475,3
1476,1
1477,3
1478,3
1479,1
1480,1
1481,1
1482,1
1483,1
1484,1
1485,1
1486,1
1487,2
1488,2
1489,2
1490,2
1491,2
1492,2
1493,1
1494,2
1495,2
1496,2
1497,2
1498,2
1499,2
1500,2
1501,2
1502,2
1503,2
1504,1
1505,1
1506,1
1507,1
1508,1
1509,3
1510,1
1511,1
1512,1
1513,1
1514,1
1515,1
1516,1
1517,1
1518,1
1519,1
1520,1
1521,1
1522,1
1523,1
1524,3
1525,2
1526,2
1527,2
1528,2
1529,2
1530,2
1531,2
1532,1
1533,1
1534,1
1535,1
1536,1
1537,1
1538,1
1539,1
1540,1
1541,1
1542,1
1543,1
1544,3
1545,1
1546,1
1547,1
1548,1
1549,1
1550,1
1551,1
1552,1
1553,1
1554,1
1555,1
1556,3
1557,1
1558,1
1559,1
1560,1
1561,1
1562,1
1563,1
1564,1
1565,1
1566,1
1567,3
1568,1
1569,1
1570,1
1571,1
1572,1
1573,1
1574,1
1575,1
1576,1
1577,1
1578,1
1579,3
1580,1
1581,1
1582,1
1583,1
1584,1
1585,1
1586,1
1587,1
1588,1
1589,1
1590,3
1591,1
1592,1
1593,1
1594,1
1595,1
1596,1
1597,1
1598,1
1599,1
1600,3
1601,1
1602,1
1603,1
1604,3
1605,1
1606,1
1607,1
1608,1
1609,1
1610,1
1611,2
1612,2
1613,2
1614,1
1615,1
1616,3
1617,1
1618,1
1619,1
1620,1
1621,1
1622,1
1623,1
1624,1
1625,1
1626,3
1627,1
1628,1
1629,1
1630,1
1631,1
1632,1
1633,1
1634,2
1635,2
1636,2
1637,2
1638,2
1639,3
1640,3
1641,3
1642,1
1643,1
1644,1
1645,1
1646,2
1647,2
1648,1
1649,3
1650,2
1651,2
1652,2
1653,2
1654,2
1655,1
1656,2
1657,2
1658,2
1659,1
1660,1
1661,3
1662,1
1663,1
1664,1
1665,1
1666,3
1667,3
1668,2
1669,2
1670,2
1671,2
1672,3
1673,3
1674,2
1675,2
1676,2
1677,2
1678,2
1679,2
1680,2
1681,2
1682,1
1683,1
1684,1
1685,1
1686,1
1687,1
1688,1
1689,1
1690,1
1691,1
1692,1
1693,3
1694,1
1695,1
1696,1
1697,1
1698,1
1699,1
1700,1
1701,1
1702,1
1703,1
1704,1
1705,1
1706,1
1707,1
1708,1
1709,1
1710,3
1711,1
1712,1
1713,1
1714,1
1715,1
1716,1
1717,3
1718,1
1719,1
1720,1
1721,1
1722,1
1723,1
1724,1
1725,1
1726,1
1727,3
1728,1
1729,1
1730,3
1731,1
1732,1
1733,1
1734,1
1735,1
1736,1
1737,1
1738,1
1739,1
1740,1
1741,1
1742,1
1743,1
1744,3
1745,1
1746,1
1747,1
1748,1
1749,3
1750,1
1751,3
1752,1
1753,1
1754,1
1755,1
1756,1
1757,1
1758,1
1759,1
1760,1
1761,1
1762,3
1763,3
1764,1
1765,1
1766,1
1767,1
1768,1
1769,1
1770,1
1771,1
1772,1
1773,3
1774,1
1775,1
1776,1
1777,1
1778,1
1779,1
1780,1
1781,1
1782,1
1783,1
1784,1
1785,1
1786,3
1787,1
1788,1
1789,1
1790,1
1791,1
1792,1
1793,1
1794,1
1795,1
1796,3
1797,1
1798,1
1799,1
1800,1
1801,1
1802,1
1803,1
1804,1
1805,1
1806,1
1807,1
1808,1
1809,1
1810,1
1811,3
1812,1
1813,1
1814,1
1815,1
1816,1
1817,1
1818,1
1819,3
1820,1
1821,1
1822,1
1823,1
1824,1
1825,1
1826,1
1827,1
1828,1
1829,1
1830,1
1831,1
1832,1
1833,1
1834,1
1835,1
1836,1
1837,1
1838,1
1839,1
1840,1
1841,1
1842,1
1843,3
1844,1
1845,1
1846,1
1847,1
1848,1
1849,1
1850,1
1851,1
1852,1
1853,1
1854,1
1855,1
1856,3
1857,3
1858,3
1859,3
1860,3
1861,1
1862,1
1863,1
1864,1
1865,1
1866,1
1867,1
1868,1
1869,1
1870,1
1871,1
1872,1
1873,2
1874,2
1875,2
1876,2
1877,1
1878,1
1879,1
1880,1
1881,1
1882,1
1883,1
1884,1
1885,1
1886,3
1887,1
1888,1
1889,1
1890,1
1891,1
1892,1
1893,1
1894,1
1895,1
1896,3
1897,3
1898,3
1899,2
1900,1
1901,1
1902,1
1903,1
1904,1
1905,1
1906,1
1907,1
1908,1
1909,1
1910,1
1911,1
1912,1
1913,1
1914,1
1915,3
1916,1
1917,1
1918,1
1919,1
1920,1
1921,1
1922,1
1923,1
1924,1
1925,1
1926,1
1927,3
1928,3
1929,1
1930,1
1931,1
1932,1
1933,1
1934,2
1935,2
1936,2
1937,2
1938,2
1939,2
1940,2
1941,2
1942,2
1943,1
1944,1
1945,3
1946,1
1947,1
1948,3
1949,1
1950,1
1951,1
1952,3
1953,1
1954,2
1955,2
1956,2
1957,2
1958,2
1959,2
1960,1
1961,1
1962,3
1963,1
1964,1
1965,2
1966,2
1967,2
1968,2
1969,2
1970,2
1971,2
1972,2
1973,2
1974,2
1975,2
1976,1
1977,1
1978,3
1979,2
1980,2
1981,2
1982,2
1983,3
1984,3
1985,1
1986,1
1987,2
1988,2
1989,1
1990,1
1991,3
1992,1
1993,1
1994,1
1995,1
1996,1
1997,3
1998,2
1999,2
2000,2
2001,1
2002,1
2003,1
2004,1
2005,3
2006,1
2007,1
2008,1
2009,1
2010,1
2011,1
2012,1
2013,1
2014,1
2015,1
2016,1
2017,1
2018,1
2019,1
2020,2
2021,1
2022,1
2023,1
2024,1
2025,1
2026,1
2027,1
2028,1
2029,0
2030,1
2031,1
2032,3
2033,1
2034,1
2035,1
2036,1
2037,1
2038,1
2039,1
2040,1
2041,1
2042,1
2043,1
2044,1
2045,3
2046,1
2047,1
2048,1
2049,1
2050,1
2051,1
2052,1
2053,1
2054,1
2055,1
2056,1
2057,1
2058,1
2059,3
2060,1
2061,1
2062,1
2063,1
2064,1
2065,1
2066,3
2067,2
2068,2
2069,1
2070,1
2071,1
2072,3
2073,1
2074,2
2075,2
2076,2
2077,3
2078,1
2079,1
2080,3
2081,1
2082,1
2083,1
2084,1
2085,1
2086,1
2087,1
2088,3
2089,1
2090,1
2091,2
2092,2
2093,1
2094,1
2095,1
2096,1
2097,1
2098,1
2099,1
2100,1
2101,1
2102,1
2103,1
2104,1
2105,1
2106,2
2107,2
2108,2
2109,2
2110,1
2111,1
2112,3
2113,1
2114,1
2115,3
2116,3
2117,3
2118,1
2119,2
2120,2
2121,2
2122,2
2123,2
2124,2
2125,2
2126,2
2127,2
2128,2
2129,2
2130,2
2131,0
2132,0
2133,1
2134,1
2135,1
2136,1
2137,1
2138,1
2139,1
2140,1
2141,1
2142,1
2143,1
2144,1
2145,1
2146,2
2147,2
2148,2
2149,2
2150,0
2151,0
2152,1
2153,0
2154,0
2155,1
2156,1
2157,0
2158,0
2159,0
2160,1
2161,1
2162,1
2163,1
2164,1
2165,1
2166,1
2167,1
2168,1
2169,1
2170,3
2171,1
2172,1
2173,1
2174,1
2175,1
2176,1
2177,1
2178,1
2179,1
2180,1
2181,1
2182,1
2183,1
2184,1
2185,3
2186,1
2187,1
2188,1
2189,1
2190,1
2191,1
2192,1
2193,1
2194,1
2195,1
2196,2
2197,2
2198,2
2199,2
2200,2
2201,2
2202,2
2203,1
2204,1
2205,1
2206,1
2207,1
2208,1
2209,1
2210,1
2211,1
2212,1
2213,1
2214,1
2215,1
2216,1
2217,3
2218,1
2219,1
2220,1
2221,1
2222,1
2223,1
2224,1
2225,1
2226,1
2227,3
2228,1
2229,1
2230,1
2231,1
2232,1
2233,1
2234,1
2235,2
2236,2
2237,2
2238,2
2239,2
2240,2
2241,2
2242,2
2243,0
2244,0
2245,0
2246,0
2247,0
2248,0
2249,0
2250,0
2251,0
2252,0
2253,2
2254,2
2255,2
2256,2
2257,2
2258,3
2259,2
2260,2
2261,2
2262,2
2263,2
2264,2
2265,2
2266,2
2267,2
2268,2
2269,1
2270,1
2271,1
2272,1
2273,1
2274,1
2275,1
2276,1
2277,1
2278,1
2279,1
2280,1
2281,1
2282,2
2283,2
2284,2
2285,2
2286,1
2287,2
2288,2
2289,2
2290,2
2291,2
2292,2
2293,2
2294,2
2295,2
2296,2
2297,2
2298,2
2299,1
2300,1
2301,3
2302,3
2303,1
2304,1
2305,2
2306,2
2307,2
2308,2
2309,1
2310,1
2311,1
2312,2
2313,2
2314,2
2315,2
2316,2
2317,1
2318,1
2319,1
2320,1
2321,1
2322,1
2323,1
2324,1
2325,1
2326,1
2327,1
2328,1
2329,1
2330,1
2331,1
2332,2
2333,2
2334,1
2335,1
2336,1
2337,1
2338,1
2339,1
2340,1
2341,1
2342,1
2343,3
2344,3
2345,3
2346,1
2347,3
2348,1
2349,1
2350,1
2351,1
2352,1
2353,3
2354,1
2355,1
2356,1
2357,1
2358,1
2359,3
2360,1
2361,1
2362,1
2363,1
2364,1
2365,1
2366,1
2367,1
2368,1
2369,1
2370,1
2371,1
2372,3
2373,1
2374,1
2375,3
2376,1
2377,1
2378,1
2379,1
2380,1
2381,1
2382,1
2383,1
2384,1
2385,1
2386,3
2387,1
2388,1
2389,1
2390,1
2391,1
2392,1
2393,1
2394,1
2395,1
2396,1
2397,1
2398,1
2399,1
2400,2
2401,2
2402,1
2403,1
2404,1
2405,1
2406,1
2407,1
2408,1
2409,1
2410,3
2411,1
2412,1
2413,1
2414,1
2415,1
2416,1
2417,1
2418,1
2419,1
2420,1
2421,3
2422,3
2423,1
2424,1
2425,1
2426,1
2427,1
2428,3
2429,1
2430,1
2431,1
2432,1
2433,1
2434,1
2435,1
2436,1
2437,1
2438,1
2439,1
2440,3
2441,1
2442,1
2443,1
2444,1
2445,1
2446,1
2447,1
2448,1
2449,1
2450,3
2451,1
2452,1
2453,1
2454,1
2455,1
2456,1
2457,2
2458,2
2459,2
2460,2
2461,1
2462,1
2463,3
2464,3
2465,1
2466,3
2467,1
2468,3
2469,1
2470,1
2471,1
2472,1
2473,1
2474,1
2475,1
2476,1
2477,1
2478,1
2479,1
2480,1
2481,1
2482,3
2483,1
2484,1
2485,1
2486,1
2487,1
2488,1
2489,1
2490,1
2491,1
2492,1
2493,3
2494,1
2495,1
2496,1
2497,1
2498,1
2499,1
2500,1
2501,1
2502,1
2503,1
2504,1
2505,1
2506,1
2507,3
2508,1
2509,1
2510,1
2511,1
2512,1
2513,1
2514,1
2515,1
2516,1
2517,1
2518,1
2519,1
2520,1
2521,3
2522,3
2523,1
2524,1
2525,3
2526,1
2527,1
2528,1
2529,1
2530,1
2531,1
2532,1
2533,1
2534,1
2535,1
2536,1
2537,1
2538,1
2539,1
2540,3
2541,1
2542,1
2543,1
2544,1
2545,1
2546,1
2547,1
2548,1
2549,1
2550,1
2551,1
2552,2
2553,1
2554,1
2555,1
2556,1
2557,1
2558,1
2559,1
2560,1
2561,1
2562,1
2563,1
2564,3
2565,3
2566,1
2567,1
2568,1
2569,1
2570,1
2571,1
2572,1
2573,1
2574,2
2575,2
2576,2
2577,2
2578,2
2579,2
2580,1
2581,1
2582,1
2583,3
2584,1
2585,1
2586,2
2587,2
2588,2
2589,2
2590,2
2591,2
2592,1
2593,1
2594,1
2595,1
2596,1
2597,1
2598,1
2599,1
2600,1
2601,1
2602,1
2603,3
2604,1
2605,1
2606,1
2607,1
2608,1
2609,1
2610,1
2611,1
2612,1
2613,1
2614,3
2615,1
2616,1
2617,1
2618,1
2619,1
2620,1
2621,1
2622,3
2623,2
2624,2
2625,2
2626,2
2627,2
2628,2
2629,2
2630,1
2631,1
2632,1
2633,1
2634,1
2635,2
2636,2
2637,2
2638,2
2639,2
2640,2
2641,2
2642,2
2643,1
2644,1
2645,2
2646,2
2647,2
2648,2
2649,1
2650,1
2651,1
2652,3
2653,1
2654,1
2655,1
2656,1
2657,1
2658,3
2659,3
2660,1
2661,1
2662,2
2663,2
2664,2
2665,1
2666,1
2667,1
2668,1
2669,1
2670,1
2671,1
2672,2
2673,2
2674,2
2675,1
2676,1
2677,1
2678,1
2679,1
2680,1
2681,1
2682,1
2683,1
2684,1
2685,1
2686,1
2687,1
2688,3
2689,1
2690,1
2691,1
2692,1
2693,1
2694,3
2695,1
2696,1
2697,1
2698,2
2699,2
2700,1
2701,1
2702,3
2703,2
2704,2
2705,2
2706,1
2707,3
2708,1
2709,1
2710,2
2711,2
2712,3
2713,1
2714,1
2715,1
2716,1
2717,1
2718,3
2719,1
2720,1
2721,1
2722,1
2723,1
2724,1
2725,1
2726,1
2727,2
2728,2
2729,2
2730,2
2731,2
2732,2
2733,2
2734,2
2735,1
2736,2
2737,2
2738,2
2739,2
2740,2
2741,2
2742,2
2743,2
2744,2
2745,2
2746,2
2747,2
2748,2
2749,2
2750,2
2751,2
2752,2
2753,2
2754,2
2755,2
2756,2
2757,2
2758,2
2759,2
2760,2
2761,2
2762,2
2763,2
2764,2
2765,1
2766,1
2767,1
2768,1
2769,1
2770,1
2771,1
2772,1
2773,1
2774,1
2775,3
2776,1
2777,1
2778,1
2779,1
2780,1
2781,1
2782,1
2783,1
2784,1
2785,1
2786,1
2787,1
2788,3
2789,1
2790,1
2791,1
2792,1
2793,1
2794,1
2795,1
2796,3
2797,1
2798,1
2799,1
2800,1
2801,1
2802,1
2803,1
2804,1
2805,3
2806,1
2807,1
2808,1
2809,1
2810,1
2811,3
2812,1
2813,1
2814,1
2815,1
2816,1
2817,1
2818,1
2819,1
2820,1
2821,1
2822,3
2823,1
2824,1
2825,1
2826,1
2827,1
2828,1
2829,1
2830,1
2831,1
2832,3
2833,1
2834,1
2835,1
2836,1
2837,1
2838,1
2839,1
2840,1
2841,1
2842,1
2843,1
2844,1
2845,1
2846,1
2847,1
2848,1
2849,1
2850,1
2851,0
2852,0
2853,0
2854,0
2855,0
2856,0
2857,0
2858,0
2859,2
2860,2
2861,2
2862,2
2863,1
2864,1
2865,1
2866,3
2867,3
2868,1
2869,1
2870,1
2871,1
2872,1
2873,1
2874,1
2875,1
2876,1
2877,1
2878,1
2879,1
2880,1
2881,1
2882,3
2883,1
2884,1
2885,1
2886,1
2887,1
2888,1
2889,1
2890,1
2891,1
2892,1
2893,1
2894,1
2895,3
2896,1
2897,1
2898,1
2899,1
2900,1
2901,1
2902,1
2903,1
2904,1
2905,1
2906,1
2907,0
2908,0
2909,1
2910,1
2911,1
2912,1
2913,1
2914,2
2915,3
2916,1
2917,1
2918,1
2919,1
2920,1
2921,1
2922,1
2923,1
2924,1
2925,3
2926,1
2927,1
2928,1
2929,1
2930,1
2931,1
2932,1
2933,1
2934,3
2935,3
2936,1
2937,1
2938,1
2939,1
2940,1
2941,1
2942,1
2943,1
2944,1
2945,1
2946,1
2947,2
2948,2
2949,2
2950,2
2951,1
2952,1
2953,1
2954,1
2955,1
2956,1
2957,1
2958,1
2959,1
2960,3
2961,1
2962,1
2963,1
2964,1
2965,1
2966,1
2967,1
2968,1
2969,1
2970,1
2971,1
2972,1
2973,1
2974,3
2975,1
2976,1
2977,1
2978,1
2979,1
2980,1
2981,1
2982,1
2983,1
2984,1
2985,3
2986,1
2987,1
2988,1
2989,1
2990,1
2991,1
2992,1
2993,1
2994,1
2995,1
2996,1
2997,3
